Ticker
DOW
VZ
IBM
CVX
WBA
MRK
AMGN
MMM
KO
INTC
JPM
JNJ
CSCO
TRV
CAT
PG
GS
MCD
HON
HD
WMT
UNH
AXP
MSFT
NKE
V
AAPL
BA
CRM
DIS
